분류,이벤트,단계,카드_상단_메세지(현재),TTS_메세지(현재),변수,비고,수정_카드_메세지,수정_TTS_메세지,수정_비고
회전카드,turn_left,approach,좌회전(유형15) / 약간 좌회전(유형16),{dist}미터 앞 좌회전,{dist},카드는 유형 15(좌회전)/16(약간 좌회전)로 세분화되지만 TTS는 turn_left로 통합됨,좌회전(유형15) / 완만한 좌회전(유형16),{dist}미터 앞 좌회전입니다,유형 16(약간 좌회전)은 카드와 TTS 모두 turn_left (유형 15)로 통합할 것.
회전카드,turn_left,imminent,좌회전(유형15) / 약간 좌회전(유형16),좌회전입니다,,,좌회전(유형15) / 완만한 좌회전(유형16),곧 좌회전입니다,모든 속도에서 동일하게 적용
회전카드,turn_left,imminent_fast(고속 주행 중 임박 시),좌회전(유형15) / 약간 좌회전(유형16),곧 좌회전입니다,,,좌회전(유형15) / 좌회전(유형16),곧 좌회전입니다,위의 imminent로 전부 통합할 것
회전카드,turn_right,approach,우회전(유형10) / 약간 우회전(유형9),{dist}미터 앞 우회전,{dist},,우회전(유형10) / 완만한 우회전(유형9),{dist}미터 앞 우회전입니다,유형 9(약간 우회전)은 카드와 TTS 모두 turn_left (유형 10)로 통합할 것.
회전카드,turn_right,imminent,우회전(유형10) / 약간 우회전(유형9),우회전입니다,,,우회전(유형10) / 완만한 우회전(유형9),곧 우회전입니다,모든 속도에서 동일하게 적용
회전카드,turn_right,imminent_fast,우회전(유형10) / 약간 우회전(유형9),곧 우회전입니다,,,우회전(유형10) / 우회전(유형9),곧 우회전입니다,위의 imminent로 전부 통합할 것
회전카드,sharp_turn_left,approach,"급좌회전(유형14, 교차로) ? 코너링 중 지오메트리로만 감지된 급커브는 카드 없음","{dist}미터 앞 급좌회전, 감속하세요",{dist},,"급한 좌회전(유형14, 교차로) ","{dist}미터 앞 급한 좌회전입니다, 감속하세요",코너링 중 지오메트리로만 감지된 급커브도 표시할 것
회전카드,sharp_turn_left,imminent,급좌회전(유형14) ? 지오메트리 감지 시 카드 없음,급좌회전 주의,,,급한 좌회전(유형14),급한 좌회전입니다,코너링 중 지오메트리로만 감지된 급커브도 표시할 것
회전카드,sharp_turn_right,approach,급우회전(유형11) ? 지오메트리 감지 시 카드 없음,"{dist}미터 앞 급우회전, 감속하세요",{dist},,"급한 우회전(유형11, 교차로)","{dist}미터 앞 급한 우회전입니다, 감속하세요",코너링 중 지오메트리로만 감지된 급커브도 표시할 것
회전카드,sharp_turn_right,imminent,급우회전(유형11) ? 지오메트리 감지 시 카드 없음,급우회전 주의,,,급한 우회전(유형11),급한 우회전입니다,코너링 중 지오메트리로만 감지된 급커브도 표시할 것
