epoch,elapsed_s,total_pss_kb,native_heap_pss_kb,graphics_pss_kb,egl_mtrack_kb,gl_mtrack_kb,java_heap_pss_kb
1786000353,0,433050,170590,140807,122943,17864,7456
1786000383,30,440368,153326,142257,123745,18512,10920
1786000413,60,454048,138166,151315,133023,18292,11828
1786000444,91,456685,137458,151315,133023,18292,11448
1786000474,121,463269,149514,152117,133825,18292,7908
1786000505,152,454748,139206,151315,133023,18292,6900
1786000535,182,457821,136501,152441,133825,18616,11056
1786000565,212,504136,138737,156405,138289,18116,11732
1786000596,243,465748,135777,156405,138289,18116,8780
1786000626,273,467563,137221,157207,139091,18116,9260
1786000656,303,468900,136601,156405,138289,18116,10828
1786000687,334,470866,131481,156405,138289,18116,13016
1786000717,364,460370,130933,157231,139091,18140,7160
1786000748,395,470345,133657,157207,139091,18116,11688
1786000778,425,470895,133401,156405,138289,18116,10176
1786000808,455,464793,132677,155279,137487,17792,12092
1786000839,486,466916,132901,156405,138289,18116,11356
1786000869,516,512247,148503,178949,138289,40660,12936
1786000900,547,499524,147203,179759,139091,40668,9920
1786000930,577,496371,144955,178957,138289,40668,6236
1786000960,607,496501,141799,179759,139091,40668,12632
1786000991,638,506545,147326,179281,138289,40992,10552
1786001021,668,502100,146490,179759,139091,40668,10560
1786001052,699,493613,145646,178633,138289,40344,9060
1786001082,729,500930,145086,180886,139894,40992,9856
1786001112,759,501413,143798,180886,139894,40992,8016
1786001143,790,506759,146778,180083,139091,40992,9428
1786001173,820,513553,144606,192291,139091,53200,8336
1786001204,851,502282,141446,178059,137487,40572,12408
1786001234,881,494775,140378,179623,139091,40532,9348
1786001264,911,506169,153676,179623,139091,40532,8960
1786001295,942,499270,144664,178019,137487,40532,7416
1786001325,972,506494,144728,180750,139894,40856,18508
1786001356,1003,494939,142368,178019,137487,40532,14640
1786001386,1033,490323,142600,178019,137487,40532,7056
1786001416,1063,488577,143283,178019,137487,40532,7096
1786001447,1094,487056,143030,178821,138289,40532,6496
1786001477,1124,493256,143522,179623,139091,40532,7108
